,NOC,Year,F,M,FP
268,BRA,1980,19.0,130.0,0.12751677852348994
269,BRA,1984,30.0,167.0,0.15228426395939088
270,BRA,1988,52.0,181.0,0.22317596566523606
271,BRA,1992,60.0,173.0,0.2575107296137339
272,BRA,1996,69.0,182.0,0.2749003984063745
273,BRA,2000,103.0,133.0,0.4364406779661017
274,BRA,2004,160.0,158.0,0.5031446540880503
275,BRA,2008,166.0,172.0,0.4911242603550296
276,BRA,2012,144.0,162.0,0.47058823529411764
277,BRA,2016,259.0,324.0,0.444253859348199
278,BRN,2000,2.0,2.0,0.5
279,BRN,2004,3.0,7.0,0.3
280,BRN,2008,3.0,12.0,0.2
281,BRN,2012,10.0,4.0,0.7142857142857143
282,BRN,2016,13.0,20.0,0.3939393939393939
283,BRU,2012,1.0,2.0,0.3333333333333333
284,BRU,2016,1.0,2.0,0.3333333333333333
285,BUL,1952,58.0,121.0,0.3240223463687151
286,BUL,1956,15.0,67.0,0.18292682926829268
287,BUL,1960,40.0,143.0,0.2185792349726776
288,BUL,1964,15.0,101.0,0.12931034482758622
289,BUL,1968,38.0,151.0,0.20105820105820105
290,BUL,1972,59.0,167.0,0.2610619469026549
291,BUL,1976,88.0,166.0,0.3464566929133858
292,BUL,1980,136.0,261.0,0.3425692695214106
293,BUL,1988,122.0,159.0,0.43416370106761565
294,BUL,1992,90.0,146.0,0.3813559322033898
295,BUL,1996,53.0,128.0,0.292817679558011
296,BUL,2000,47.0,103.0,0.31333333333333335
297,BUL,2004,52.0,67.0,0.4369747899159664
298,BUL,2008,35.0,52.0,0.40229885057471265
299,BUL,2012,36.0,39.0,0.48
300,BUL,2016,25.0,33.0,0.43103448275862066
301,BUR,1988,2.0,7.0,0.2222222222222222
302,BUR,1996,2.0,3.0,0.4
303,BUR,2000,1.0,3.0,0.25
304,BUR,2004,2.0,3.0,0.4
305,BUR,2008,3.0,3.0,0.5
306,BUR,2012,3.0,2.0,0.6
307,BUR,2016,2.0,3.0,0.4
308,CAF,1992,3.0,18.0,0.14285714285714285
309,CAF,1996,2.0,3.0,0.4
310,CAF,2000,2.0,1.0,0.6666666666666666
311,CAF,2004,2.0,2.0,0.5
312,CAF,2008,1.0,2.0,0.3333333333333333
313,CAF,2012,3.0,3.0,0.5
314,CAF,2016,3.0,3.0,0.5
315,CAM,1972,2.0,15.0,0.11764705882352941
316,CAM,1996,2.0,3.0,0.4
317,CAM,2000,2.0,2.0,0.5
318,CAM,2004,2.0,2.0,0.5
319,CAM,2008,2.0,2.0,0.5
320,CAM,2012,3.0,3.0,0.5
321,CAM,2016,4.0,2.0,0.6666666666666666
322,CAN,1928,12.0,101.0,0.10619469026548672
323,CAN,1932,26.0,165.0,0.13612565445026178
324,CAN,1936,27.0,140.0,0.16167664670658682
325,CAN,1948,32.0,156.0,0.1702127659574468
326,CAN,1952,26.0,128.0,0.16883116883116883
327,CAN,1956,34.0,116.0,0.22666666666666666
328,CAN,1960,32.0,108.0,0.22857142857142856
329,CAN,1964,44.0,150.0,0.2268041237113402
330,CAN,1968,79.0,212.0,0.27147766323024053
331,CAN,1972,108.0,236.0,0.313953488372093
332,CAN,1976,201.0,330.0,0.3785310734463277
333,CAN,1984,223.0,349.0,0.38986013986013984
334,CAN,1988,181.0,322.0,0.35984095427435386
335,CAN,1992,194.0,251.0,0.43595505617977526
336,CAN,1996,202.0,206.0,0.4950980392156863
337,CAN,2000,224.0,198.0,0.5308056872037915
338,CAN,2004,191.0,200.0,0.4884910485933504
339,CAN,2008,188.0,261.0,0.41870824053452116
340,CAN,2012,208.0,146.0,0.5875706214689266
341,CAN,2016,254.0,151.0,0.6271604938271605
342,CAY,1984,1.0,13.0,0.07142857142857142
343,CAY,1988,1.0,11.0,0.08333333333333333
344,CAY,1996,1.0,8.0,0.1111111111111111
345,CAY,2000,3.0,1.0,0.75
346,CAY,2004,3.0,5.0,0.375
347,CAY,2008,1.0,5.0,0.16666666666666666
348,CAY,2016,2.0,3.0,0.4
349,CGO,1980,14.0,11.0,0.56
350,CGO,1984,2.0,11.0,0.15384615384615385
351,CGO,1988,3.0,7.0,0.3
352,CGO,1992,1.0,9.0,0.1
353,CGO,1996,2.0,3.0,0.4
354,CGO,2000,2.0,3.0,0.4
355,CGO,2004,3.0,2.0,0.6
356,CGO,2008,2.0,3.0,0.4
357,CGO,2012,3.0,4.0,0.42857142857142855
358,CGO,2016,3.0,7.0,0.3
359,CHA,1992,2.0,5.0,0.2857142857142857
360,CHA,1996,1.0,3.0,0.25
361,CHA,2000,2.0,1.0,0.6666666666666666
362,CHA,2008,1.0,1.0,0.5
363,CHA,2016,1.0,1.0,0.5
364,CHI,1936,1.0,55.0,0.017857142857142856
365,CHI,1948,8.0,64.0,0.1111111111111111
